Query,Response
آیا بازپرداخت‌ها فوری هستند؟,بازپرداخت‌ها ممکن است بسته به بانک شما ۵ تا ۱۰ روز کاری طول بکشد.
آیا اجناس حراج غیرقابل بازگشت هستند؟,"بله، اجناس تخفیف‌دار نهایی بوده و قابل بازگشت نیستند."
آیا محصولات قابل بازیافت هستند؟,"بله، بسیاری از محصولات ما از مواد قابل بازیافت ساخته شده‌اند."
آیا تخفیف‌هایی موجود است؟,"بله، صفحه معاملات ما را برای تخفیف‌های جاری بررسی کنید."
آیا هزینه‌ای برای تراکنش‌های بین‌المللی وجود دارد؟,تراکنش‌های بین‌المللی ممکن است شامل یک هزینه پردازش کوچک باشد.
آیا مسابقات یا اهدایی‌هایی وجود دارد؟,"بله، وب‌سایت یا شبکه‌های اجتماعی ما را برای مسابقات جاری بررسی کنید."
آیا هزینه‌های پنهان وجود دارد؟,"خیر، تمامی هزینه‌ها قبل از تکمیل خرید شما اعلام می‌شوند."
آیا تخفیفات تعطیلاتی وجود دارد؟,"بله، تخفیفات تعطیلاتی در دوره‌های تبلیغاتی موجود است."
آیا امتیازات عضویت وجود دارد؟,"بله، اعضا از تخفیفات و جوایز ویژه برخوردار می‌شوند."
آیا فروش‌های آینده‌ای وجود دارد؟,به طور مرتب وب‌سایت ما را برای اطلاعات فروش‌های آینده بررسی کنید.
آیا برای مشتریان جدید تخفیف وجود دارد؟,"بله، مشتریان جدید در اولین خرید خود تخفیف دریافت می‌کنند."
آیا گزینه‌های هدیه برای عروسی وجود دارد؟,"بله، ما مجموعه‌ای از اقلام مناسب برای عروسی‌ها ارائه می‌دهیم."
آیا اقلامی وجود دارد که قابل بازگشت نباشند؟,"بله، برخی اقلام مانند اقلام فروش نهایی قابل بازگشت نیستند."
آیا حداقل سن برای خرید وجود دارد؟,"بله، برخی محصولات نیاز به سن حداقل ۱۴ سال دارند."
آیا تخفیفات خاص برای خریداران جدید وجود دارد؟,"بله، خریداران جدید ۱۰٪ تخفیف دریافت می‌کنند."
آیا محصولات شما آزمایش حیوانی ندارند؟,"بله، محصولات ما بر روی حیوانات آزمایش نمی‌شوند."
آیا محصولات شما تأییدیه FDA دارند؟,"بله، تمامی محصولاتی که نیاز به تأیید FDA دارند، مطابق هستند."
آیا محصولات شما پایدار هستند؟,ما تلاش می‌کنیم تا از مواد پایدار برای محصولات خود استفاده کنیم.
آیا فروشگاه‌های شما در تعطیلات باز هستند؟,ساعات کاری فروشگاه‌ها در تعطیلات ممکن است متفاوت باشد؛ آنلاین بررسی کنید.
آیا می‌توانم به خرید خود کمک مالی اضافه کنم؟,"بله، در مرحله پرداخت می‌توانید به خیریه‌های منتخب کمک مالی اضافه کنید."
آیا می‌توانم به یک سفارش موجود اقلامی اضافه کنم؟,"پس از ثبت سفارش نمی‌توانید اقلامی اضافه کنید، اما می‌توانید سفارش جدیدی ثبت کنید."
آیا می‌توانم برای خط اعتباری فروشگاه اقدام کنم؟,"بله، درخواست خط اعتباری فروشگاه در وب‌سایت ما موجود است."
آیا می‌توانم اقلام را به صورت عمده خریداری کنم؟,"بله، گزینه‌های خرید عمده موجود است؛ لطفاً با پشتیبانی تماس بگیرید."
آیا می‌توانم اکنون خرید کنم و بعداً پرداخت کنم؟,"بله، گزینه‌های مالی مانند Afterpay در دسترس است."
آیا می‌توانم آنلاین خرید کنم و در فروشگاه تحویل بگیرم؟,"بله، گزینه تحویل در فروشگاه در مرحله پرداخت در دسترس است."
آیا می‌توانم سفارش خود را لغو کنم؟,می‌توانید سفارش خود را ظرف ۵ دقیقه پس از خرید لغو کنید.
آیا می‌توانم روش پرداخت خود را پس از سفارش تغییر دهم؟,متأسفانه روش‌های پرداخت پس از ثبت سفارش قابل تغییر نیستند.
آیا می‌توانم آدرس حمل و نقل خود را تغییر دهم؟,می‌توانید ظرف ۵ دقیقه پس از ثبت سفارش آدرس خود را تغییر دهید.
آیا می‌توانم سفارشات متعدد را ترکیب کنم؟,"پس از ثبت، نمی‌توان سفارشات را ترکیب کرد."
آیا می‌توانم سفارش‌های روزانه مکرر تنظیم کنم؟,"بله، برای برخی محصولات می‌توانید سفارش‌های مکرر تنظیم کنید."
آیا می‌توانم کالاها را به چندین آدرس ارسال کنم؟,در حال حاضر فقط از یک آدرس حمل و نقل در هر سفارش پشتیبانی می‌شود.
آیا می‌توانم به چندین آدرس ارسال کنم؟,"بله، در مرحله پرداخت می‌توانید آدرس‌های مختلف را انتخاب کنید."
آیا می‌توانم با گوگل یا فیس‌بوک وارد شوم؟,"بله، ما از گزینه ورود با گوگل و فیس‌بوک پشتیبانی می‌کنیم."
آیا می‌توانم آدرس پرداخت خود را به‌روزرسانی کنم؟,"بله، آدرس پرداخت خود را در تنظیمات حساب به‌روزرسانی کنید."
آیا می‌توانم از کارت‌های پیش‌پرداخت برای پرداخت استفاده کنم؟,"بله، کارت‌های پیش‌پرداخت برای خریدهای آنلاین پذیرفته می‌شوند."
آیا می‌توانم از کد تبلیغاتی برای اقلام تخفیفی استفاده کنم؟,ممکن است کدهای تبلیغاتی برای اقلام تخفیفی قابل استفاده نباشند.
آیا می‌توانم از Apple Pay استفاده کنم؟,"بله، Apple Pay به عنوان یک گزینه پرداخت موجود است."
آیا می‌توانم از چند کد تبلیغاتی استفاده کنم؟,فقط یک کد تبلیغاتی در هر سفارش قابل اعمال است.
آیا می‌توانم از امتیازهای وفاداری خود برای همه اقلام استفاده کنم؟,"بله، امتیازهای وفاداری می‌توانند برای همه محصولات مگر در موارد خاص استفاده شوند."
آیا می‌توانم از PayPal برای پرداخت استفاده کنم؟,"بله، ما PayPal را برای همه سفارش‌های آنلاین می‌پذیریم."
آیا می‌توانم تاریخچه سفارش خود را مشاهده کنم؟,"بله، تاریخچه سفارشات خود را در بخش حساب ببینید."
آیا می‌توانم وضعیت سفارش خود را به صورت آنلاین ببینم؟,"بله، وضعیت سفارش خود را در داشبورد حساب مشاهده کنید."
آیا می‌توانم تاریخچه امتیازات خود را ببینم؟,"بله، تاریخچه امتیازات خود را در داشبورد حساب مشاهده کنید."
آیا می‌توانم سفارش‌های قبلی خود را مشاهده کنم؟,"بله، تمام سفارش‌های گذشته را در تاریخچه حساب خود ببینید."
آیا برای ثبت سفارش نیاز به ثبت‌نام دارم؟,"می‌توانید به‌عنوان مهمان سفارش دهید، اما ثبت‌نام مزایای بیشتری ارائه می‌دهد."
آیا کارت‌های هدیه پیش‌پرداخت را می‌پذیرید؟,"بله، کارت‌های هدیه پیش‌پرداخت به عنوان روش پرداخت پذیرفته می‌شوند."
آیا برنامه ارجاع مشتری دارید؟,"بله، دوستان خود را معرفی کنید و با خرید آن‌ها پاداش بگیرید."
آیا بسته‌بندی محیط‌زیست‌دوستانه دارید؟,"بله، ما از مواد بسته‌بندی دوستدار محیط‌زیست استفاده می‌کنیم."
آیا راهنمای هدیه تعطیلات دارید؟,"بله، راهنمای هدیه فصلی ما را در وب‌سایت بررسی کنید."
آیا محصولات نسخه محدود دارید؟,"بله، بخش نسخه محدود ما را در وب‌سایت بررسی کنید."
آیا محصولات برای پوست حساس دارید؟,"بله، ما مجموعه‌ای از محصولات برای پوست حساس ارائه می‌دهیم."
آیا محصولات گیاهی دارید؟,"بله، ما مجموعه‌ای از محصولات گیاهی ارائه می‌دهیم."
آیا در صورت کاهش قیمت تعدیل قیمت ارائه می‌دهید؟,"بله، ما یک بار تعدیل قیمت را در مدت سه روز پس از خرید ارائه می‌دهیم."
آیا تخفیف‌های بازگشت به مدرسه ارائه می‌دهید؟,"بله، در فصل بازگشت به مدرسه تخفیف‌هایی ارائه می‌دهیم."
آیا تخفیف‌های خرید عمده دارید؟,"بله، برای خریدهای عمده تخفیف‌هایی ارائه می‌دهیم."
آیا پرداخت نقدی هنگام تحویل دارید؟,پرداخت نقدی هنگام تحویل در برخی مناطق در دسترس است.
آیا تعویض کالا ارائه می‌دهید؟,"بله، می‌توانید کالاها را در مدت ۳ روز تعویض کنید."
آیا گزینه‌های مالی ارائه می‌دهید؟,"بله، گزینه‌های مالی در مرحله پرداخت موجود هستند."
آیا بازگشت رایگان ارائه می‌دهید؟,"بله، ما برای بیشتر اقلام بازگشت رایگان ارائه می‌دهیم."
آیا بسته‌بندی هدیه ارائه می‌دهید؟,"بله، بسته‌بندی هدیه را در مرحله پرداخت انتخاب کنید."
آیا تطبیق قیمت ارائه می‌دهید؟,"بله، ما تطبیق قیمت را در مدت ۱۴ روز پس از خرید ارائه می‌دهیم."
آیا نمونه ارائه می‌دهید؟,نمونه‌ها برای برخی محصولات در دسترس هستند؛ جزئیات صفحه محصول را بررسی کنید.
آیا مجموعه‌های فصلی ارائه می‌دهید؟,"بله، مجموعه‌های فصلی ما را در وب‌سایت بررسی کنید."
آیا تخفیف‌های دانشجویی دارید؟,"بله، دانشجویان با ارائه مدرک معتبر ۱۰٪ تخفیف دریافت می‌کنند."
آیا جعبه‌های هدیه می‌فروشید؟,"بله، جعبه‌های هدیه با هزینه اضافی در دسترس هستند."
آیا خدمات مشتری به زبان‌های مختلف در دسترس است؟,"بله، ما از زبان‌های مختلف برای پشتیبانی مشتری پشتیبانی می‌کنیم."
آیا محصولات قابل سفارشی‌سازی دارید؟,"بله، برخی محصولات قابل سفارشی‌سازی هستند؛ جزئیات در صفحه محصول موجود است."
آیا محصولات دارای گارانتی هستند؟,"بله، اکثر محصولات ما دارای گارانتی هستند؛ شرایط را بررسی کنید."
آیا خدمات تعمیر ارائه می‌دهید؟,"بله، ما خدمات تعمیر برای برخی محصولات ارائه می‌دهیم."
آیا می‌توانم سفارش خود را شخصاً تحویل بگیرم؟,"بله، تحویل حضوری در مکان‌های خاصی در دسترس است."
آیا می‌توانم سفارش خود را به کشور دیگری ارسال کنم؟,"بله، ما حمل‌ونقل بین‌المللی به کشورهای منتخب ارائه می‌دهیم."
آیا محدودیتی در خرید تعداد کالا وجود دارد؟,محدودیت‌های خرید برای برخی محصولات خاص ممکن است اعمال شود.
آیا محصولات شما آزمایش حیوانی دارند؟,"خیر، محصولات ما بدون آزمایش حیوانی تولید می‌شوند."
آیا می‌توانم خرید خود را به تأخیر بیاندازم؟,"بله، می‌توانید تاریخ ارسال را در هنگام پرداخت انتخاب کنید."
آیا مشاوره رایگان برای انتخاب محصول دارید؟,"بله، ما مشاوره رایگان از طریق چت یا تماس تلفنی ارائه می‌دهیم."
آیا می‌توانم چند سفارش را با هم ترکیب کنم؟,"خیر، سفارش‌ها باید به صورت جداگانه پردازش شوند."
آیا حمل‌ونقل به مناطق دورافتاده ارائه می‌دهید؟,"بله، اما ممکن است هزینه و زمان اضافی داشته باشد."
آیا امکان پیگیری سفارش وجود دارد؟,"بله، شماره پیگیری پس از ارسال سفارش ارائه می‌شود."
آیا خدمات شبانه‌روزی مشتری دارید؟,"بله، تیم پشتیبانی مشتری ما ۲۴/۷ در دسترس است."
آیا امکان لغو سفارش پس از ارسال وجود دارد؟,"خیر، پس از ارسال سفارش نمی‌توانید آن را لغو کنید."
آیا محصولات تخفیفی بازگشت‌پذیر هستند؟,"بله، اما ممکن است شرایط ویژه‌ای اعمال شود."
آیا فروشگاه فیزیکی دارید؟,"بله، مکان‌های فروشگاه فیزیکی ما در وب‌سایت قابل مشاهده است."
آیا محصولات شما از مواد بازیافتی ساخته شده‌اند؟,"بله، برخی از محصولات ما با مواد بازیافتی تولید می‌شوند."
آیا تخفیف‌های روزانه دارید؟,"بله، ما پیشنهادات ویژه روزانه در وب‌سایت داریم."
آیا محصولات ضدآب دارید؟,"بله، محصولات ضدآب در مجموعه ما موجود هستند."
آیا محصولات مناسب هدیه کودکان دارید؟,"بله، ما مجموعه‌ای از محصولات مناسب برای کودکان ارائه می‌دهیم."
آیا بسته‌بندی بدون پلاستیک دارید؟,"بله، بسته‌بندی‌های بدون پلاستیک برای برخی محصولات در دسترس هستند."
آیا محصولات سازگار با محیط‌زیست دارید؟,"بله، ما مجموعه‌ای از محصولات دوستدار محیط‌زیست ارائه می‌دهیم."
آیا می‌توانم پرداخت‌های قسطی داشته باشم؟,"بله، ما گزینه‌های پرداخت قسطی ارائه می‌دهیم."
آیا کوپن‌های تخفیف تاریخ انقضا دارند؟,"بله، تاریخ انقضا بر روی هر کوپن مشخص شده است."
آیا نمونه‌های رایگان ارائه می‌دهید؟,"بله، نمونه‌های رایگان در خریدهای خاص ارائه می‌شود."
آیا کارت‌های هدیه دیجیتالی ارائه می‌دهید؟,"بله، کارت‌های هدیه دیجیتالی برای خرید آنلاین در دسترس هستند."
آیا برنامه عضویت ویژه دارید؟,"بله، عضویت ویژه با مزایای اضافی در دسترس است."
آیا محصولات شما مناسب افراد مبتلا به آلرژی هستند؟,"بله، جزئیات حساسیت در توضیحات محصول ذکر شده است."
آیا محصولات بدون عطر دارید؟,"بله، محصولات بدون عطر در مجموعه ما موجود هستند."
آیا محصولاتی برای مراقبت از حیوانات خانگی دارید؟,"بله، ما محصولات مراقبت از حیوانات خانگی ارائه می‌دهیم."
آیا می‌توانم سفارش خود را به کسی هدیه بدهم؟,"بله، می‌توانید در مرحله پرداخت گزینه هدیه را انتخاب کنید."
آیا می‌توانم به صورت تلفنی سفارش بدهم؟,"بله، سفارش تلفنی برای برخی محصولات امکان‌پذیر است."
آیا تخفیف‌های فصلی دارید؟,"بله، ما تخفیف‌های فصلی ویژه‌ای ارائه می‌دهیم."
آیا محصولات مناسب فصل زمستان دارید؟,"بله، مجموعه‌ای از محصولات مناسب فصل زمستان ارائه می‌دهیم."
آیا می‌توانم در فروشگاه فیزیکی خرید کنم؟,"بله، شما می‌توانید به فروشگاه‌های فیزیکی ما مراجعه کرده و خرید کنید."
آیا فروشگاه شما در تعطیلات باز است؟,"بله، فروشگاه‌ها در تعطیلات خاص باز هستند. برای جزئیات بیشتر، به وب‌سایت مراجعه کنید."
آیا می‌توانم محصولات را در فروشگاه امتحان کنم؟,"بله، برخی محصولات در فروشگاه‌های ما قابل آزمایش هستند."
آیا در خرید آنلاین تخفیف می‌دهید؟,"بله، تخفیف‌های ویژه برای خرید آنلاین ارائه می‌شود."
آیا پشتیبانی از مشتری از طریق ایمیل در دسترس است؟,"بله، شما می‌توانید از طریق ایمیل با تیم پشتیبانی ما تماس بگیرید."
آیا می‌توانم در خرید آنلاین از کارت هدیه استفاده کنم؟,"بله، کارت‌های هدیه در خرید آنلاین پذیرفته می‌شود."
آیا فروشگاه شما در دسترس افراد ناتوان است؟,"بله، ما فروشگاه‌هایی با دسترسی مناسب برای افراد ناتوان داریم."
آیا برنامه‌ای برای جمع‌آوری امتیاز در خریدها دارید؟,"بله، برنامه امتیاز برای خریدهای شما در دسترس است."
آیا محصولات شما در فروشگاه‌های دیگر موجود است؟,"بله، برخی محصولات ما در فروشگاه‌های دیگر نیز موجود است."
آیا می‌توانم سفارش خود را به آدرس دیگری ارسال کنم؟,"بله، می‌توانید سفارش خود را به آدرس دیگری ارسال کنید."
آیا امکان تغییر آدرس ارسال بعد از ثبت سفارش وجود دارد؟,"خیر، پس از ثبت سفارش، تغییر آدرس ارسال امکان‌پذیر نیست."
آیا می‌توانم از گواهی‌های خرید استفاده کنم؟,"بله، شما می‌توانید از گواهی‌های خرید در فروشگاه‌ها و آنلاین استفاده کنید."
آیا امکان خرید اقساطی وجود دارد؟,"بله، شما می‌توانید از گزینه‌های خرید اقساطی استفاده کنید."
آیا محصولات شما از برندهای معروف هستند؟,"بله، ما محصولات از برندهای معتبر و معروف را عرضه می‌کنیم."
آیا محصولات شما به صورت عمده هم فروخته می‌شود؟,"بله، محصولات به صورت عمده نیز برای خریداران عمده قابل خریداری هستند."
آیا امکان سفارش محصولات از خارج از کشور وجود دارد؟,"بله، ارسال به خارج از کشور برای برخی محصولات امکان‌پذیر است."
